Item,Price,Reviews,Image
"APPLE iPhone 12 Mini (White, 64 GB)","₹39,999",4.5,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/d/g/b/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfhx4cfzue.jpeg?q=70
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹39,999",4.5,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/s/h/f/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfukehtnxv.jpeg?q=70
"APPLE iPhone 12 Mini (Black, 128 GB)","₹44,999",4.5,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/n/p/d/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfwkfrerak.jpeg?q=70
"APPLE iPhone 12 Mini (Black, 64 GB)","₹39,999",4.5,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/n/p/d/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfwkfrerak.jpeg?q=70
"APPLE iPhone 12 (Black, 128 GB)","₹55,999",4.6,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/r/h/z/apple-iphone-12-dummyapplefsn-original-imafwg8duby8qbn4.jpeg?q=70
"APPLE iPhone 11 (Red, 64 GB)","₹37,999",4.6,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/q/z/g/iphone-11-128-a-mwm32hn-a-apple-0-original-imafkg25hjmuy98e.jpeg?q=70
"APPLE iPhone 12 Mini (Red, 64 GB)","₹39,999",4.5,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/n/2/u/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfxuhswfgj.jpeg?q=70
"APPLE iPhone 11 (Red, 128 GB)","₹42,999",4.6,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/q/z/g/iphone-11-128-a-mwm32hn-a-apple-0-original-imafkg25hjmuy98e.jpeg?q=70
"APPLE iPhone 12 Mini (White, 128 GB)","₹44,999",4.5,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/d/g/b/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfhx4cfzue.jpeg?q=70
"APPLE iPhone 12 Mini (Red, 128 GB)","₹44,999",4.5,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/n/2/u/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfxuhswfgj.jpeg?q=70
"APPLE iPhone 12 Mini (Blue, 128 GB)","₹44,999",4.5,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/s/h/f/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfukehtnxv.jpeg?q=70
"APPLE iPhone 12 (White, 128 GB)","₹55,999",4.6,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/j/f/9/apple-iphone-12-dummyapplefsn-original-imafwg8dkyh2zgrh.jpeg?q=70
"APPLE iPhone 12 (Purple, 128 GB)","₹55,999",4.6,https://rukminim1.flixcart.com/image/312/312/ko0d6kw0/mobile/6/h/y/iphone-12-mjnm3hn-a-apple-original-imag2k2v6ehvnzfd.jpeg?q=70
"APPLE iPhone 14 Plus (Blue, 128 GB)","₹89,900",4.5,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/c/4/d/-original-imaghx9qygjjg8hz.jpeg?q=70
"APPLE iPhone 14 Pro (Space Black, 512 GB)","₹1,59,900",4.8,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/l/p/-original-imaghxemc3wtcuhb.jpeg?q=70
"APPLE iPhone 13 Mini (Blue, 256 GB)","₹68,990",4.5,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/a/i/l/iphone-13-mini-mlk93hn-a-apple-original-imag6vp6x67yypzk.jpeg?q=70
"APPLE iPhone 14 Plus (Midnight, 256 GB)","₹99,900",4.5,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/b/0/-original-imaghx9qnhzxegu2.jpeg?q=70
"APPLE iPhone 12 Mini (Green, 128 GB)","₹44,999",4.5,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/h/v/w/apple-iphone-12-mini-dummyapplefsn-original-imafwgb2zkjcwpre.jpeg?q=70
"APPLE iPhone 14 (Purple, 128 GB)","₹79,900",4.6,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/u/f/-original-imaghxa5hvapbfds.jpeg?q=70
"APPLE iPhone 14 Plus (Starlight, 256 GB)","₹99,900",4.5,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/v/8/-original-imaghx9qudmydgc4.jpeg?q=70
"APPLE iPhone 11 (Yellow, 128 GB)","₹45,999",4.6,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/y/y/z/iphone-11-64-a-mwlw2hn-a-apple-0-original-imafkg25qghgbxmm.jpeg?q=70
"APPLE iPhone 14 (Blue, 128 GB)","₹79,900",4.6,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg?q=70
